model,variable,h,n,RMSE,CRPS,LogScore,country
BVAR,reer_yoy,8,53,5.744,3.063,-3.207,UK
BVAR,y10,1,53,0.348,0.2,-0.456,UK
BVAR,y10,4,53,0.957,0.544,-1.721,UK
BVAR,y10,8,53,1.558,0.91,-2.577,UK
BVAR,policy,1,53,0.252,0.136,-0.131,UK
BVAR,policy,4,53,1.016,0.498,-1.521,UK
BVAR,policy,8,53,1.792,0.962,-2.289,UK
RW,gdp_yoy,1,53,2.927,1.168,-3.713,CA
RW,gdp_yoy,4,53,4.9,2.117,-3.53,CA
RW,gdp_yoy,8,53,4.869,2.456,-3.176,CA
RW,inflation_yoy,1,53,0.681,0.374,-1.061,CA
RW,inflation_yoy,4,53,1.826,1.012,-2.128,CA
RW,inflation_yoy,8,53,2.436,1.3,-2.407,CA
RW,reer_yoy,1,53,2.917,1.72,-2.617,CA
RW,reer_yoy,4,53,5.58,3.341,-3.287,CA
RW,reer_yoy,8,53,6.468,4.128,-3.562,CA
RW,y10,1,53,0.31,0.172,-0.313,CA
RW,y10,4,53,0.752,0.457,-1.36,CA
RW,y10,8,53,1.162,0.698,-1.933,CA
RW,policy,1,53,0.353,0.174,-0.427,CA
RW,policy,4,53,1.138,0.559,-1.975,CA
RW,policy,8,53,1.801,0.962,-2.679,CA
AR1,gdp_yoy,1,53,2.755,1.058,-3.877,CA
AR1,gdp_yoy,4,53,4.358,1.702,-3.818,CA
AR1,gdp_yoy,8,53,3.894,1.743,-3.701,CA
AR1,inflation_yoy,1,53,0.729,0.387,-1.125,CA
AR1,inflation_yoy,4,53,1.667,0.889,-2.543,CA
AR1,inflation_yoy,8,53,1.837,0.972,-2.943,CA
AR1,reer_yoy,1,53,2.75,1.626,-2.562,CA
AR1,reer_yoy,4,53,4.654,2.702,-3.02,CA
AR1,reer_yoy,8,53,5.116,2.941,-3.099,CA
AR1,y10,1,53,0.313,0.174,-0.344,CA
AR1,y10,4,53,0.778,0.486,-1.57,CA
AR1,y10,8,53,1.205,0.759,-2.401,CA
AR1,policy,1,53,0.364,0.178,-0.457,CA
AR1,policy,4,53,1.15,0.571,-2.178,CA
AR1,policy,8,53,1.743,0.93,-3.073,CA
VAR_OLS,gdp_yoy,1,53,4.478,2.052,-8.107,CA
VAR_OLS,gdp_yoy,4,53,6.617,3.127,-6.414,CA
VAR_OLS,gdp_yoy,8,53,4.858,2.883,-5.443,CA
VAR_OLS,inflation_yoy,1,53,1.43,0.753,-4.268,CA
VAR_OLS,inflation_yoy,4,53,2.926,1.52,-4.605,CA
VAR_OLS,inflation_yoy,8,53,2.994,1.582,-3.811,CA
VAR_OLS,reer_yoy,1,53,6.835,3.841,-4.57,CA
VAR_OLS,reer_yoy,4,53,11.46,6.472,-4.382,CA
VAR_OLS,reer_yoy,8,53,12.729,6.322,-4.122,CA
VAR_OLS,y10,1,53,0.568,0.319,-2.154,CA
VAR_OLS,y10,4,53,1.286,0.828,-3.864,CA
VAR_OLS,y10,8,53,1.804,1.112,-3.797,CA
VAR_OLS,policy,1,53,0.601,0.336,-2.456,CA
VAR_OLS,policy,4,53,2.164,1.248,-8.805,CA
VAR_OLS,policy,8,53,3.336,2.087,-10.011,CA
BVAR_noshock,gdp_yoy,1,53,2.703,1.022,-4.007,CA
BVAR_noshock,gdp_yoy,4,53,3.638,1.53,-3.838,CA
